kernel_size1,kernel_size2,cnn_internal,cnn_out,hidden_size,num_layers,dropout,learning_rate,weight_decay,batch_size,accuracy,precision,recall,f1,c11,c12,c21,c22,val_loss,train_loss,config_num,method
7,5,128,128,256,2,0.5,0.01,0.001,32,0.9146757679180888,0.9350180505415162,0.8900343642611683,0.9119718309859156,0.4726962457337884,0.030716723549488,0.0546075085324232,0.4419795221843003,"[0.4986416860060258, 0.43777115056009, 0.3927817299510493, 0.41002229668877344, 0.34525371365474933, 0.34821459289753076, 0.42019145597111096, 0.3603783796230952, 0.357401656833562, 0.3258447204575394, 0.32758164496132824, 0.2240185992735805, 0.3257406186876875, 0.33011946669130615, 0.3230987579533548, 0.32021864255269367, 0.3133214247046095, 0.31259222825368244, 0.31145961492350605, 0.31038836773597833, 0.3104658162955082]","[0.615549118004062, 0.4679065343331207, 0.4146440125098734, 0.4058502471130906, 0.4101545548800266, 0.40465531927166565, 0.4043010566948038, 0.4010032264120651, 0.4034553897200209, 0.3741038778063023, 0.3599906255575744, 0.34399859150024975, 0.40722147917205637, 0.3604964873555935, 0.3515116495616508, 0.35539993835669575, 0.34666092603495624, 0.34926738189251133, 0.3485681555713668, 0.3461550276613597, 0.34661357815970073]",0,grid_search
7,5,128,128,256,2,0.5,0.01,0.001,64,0.9351535836177476,0.9501779359430604,0.9175257731958762,0.9335664335664337,0.4795221843003412,0.0238907849829351,0.0409556313993174,0.4556313993174061,"[0.38708290633033304, 0.3383509990047006, 0.3956512458184186, 0.3586863191688762, 0.532803863286972, 0.32961514592170715, 0.35634121649405537, 0.3658304442377651, 0.34968047019313364, 0.3878435755477232, 0.31685173511505127, 0.3199085154954125, 0.32258306356037364, 0.3191855628700817, 0.31098588950493755, 0.3039121215834337, 0.31520238343407125, 0.27132319439859953, 0.3076173794620177, 0.24192804711706498, 0.18239908314803066, 0.22361327576286652, 0.25128818873096914, 0.5673543197267196, 0.3073253070606905, 0.3008648849585477, 0.29374590077820945, 0.28004174635690804, 0.2763174824854907, 0.27148380524971905]","[0.46217196186383563, 0.4028303668354497, 0.39146800790772296, 0.3941124135797674, 0.3918827519272313, 0.39268633316863666, 0.3898200203071941, 0.4118500661217805, 0.3934850189270395, 0.3938958565845634, 0.36536021891868475, 0.3524998491912177, 0.34650945482832013, 0.3489287193074371, 0.3453381519877549, 0.34480169596094074, 0.35191421526851074, 0.34362786827665387, 0.34225986435106304, 0.3126938139850443, 0.312822842010946, 0.25616774719321367, 0.3231507794875087, 0.3938559860442624, 0.40084003137819696, 0.3402753869692485, 0.32037868892604654, 0.31437142283627484, 0.3050388598983938, 0.2999126601851348]",1,grid_search
7,5,128,128,256,2,0.5,0.01,0.001,128,0.9232081911262798,0.9522058823529412,0.8900343642611683,0.9200710479573712,0.4812286689419795,0.0221843003412969,0.0546075085324232,0.4419795221843003,"[0.3417998254299164, 0.40889229045973885, 0.36050384243329364, 0.3513193229834239, 0.36328401499324375, 0.319077299700843, 0.31513845258288914, 0.31194407410091823, 0.2317605217297872, 0.2916192048125797, 0.21363389492034912, 0.3189113736152649, 0.3136833541923099, 0.30786794755193925, 0.3061339259147644, 0.3013480438126458, 0.3002328707112206, 0.29890692896313137, 0.29903796646330094, 0.2987975411944919]","[0.5211506937489365, 0.3889518714312351, 0.38505351994976855, 0.39862171537948377, 0.374302527218154, 0.36626202816312964, 0.34654166120471375, 0.3445000332413298, 0.3178031042669759, 0.333275296922886, 0.2825319017424728, 0.39820200204849243, 0.3532124604239608, 0.3472931525020888, 0.34208488012805127, 0.33530774170702154, 0.3349662883715196, 0.33174021903312567, 0.3329354055000074, 0.3295119079676541]",2,grid_search
7,5,128,128,256,2,0.5,0.01,0.0001,64,0.8822525597269625,0.8603896103896104,0.9106529209621992,0.8848080133555927,0.4300341296928328,0.0733788395904436,0.0443686006825938,0.4522184300341297,"[0.37403465018552895, 0.3617827173541574, 0.3530304607223062, 0.3707209913169636, 0.33042241720592275, 0.34783008431687074, 0.3785504646161023, 0.3392986436100567, 0.34582388663993163, 0.3289973770870882, 0.3073298931121826, 0.2781535895431743, 0.31473660469055176, 0.3163537628510419, 0.30848134440534253, 0.3131089289398754, 0.302210510653608, 0.2984906654147541, 0.2931562092374353, 0.2890740808318643, 0.2885511701597887]","[0.5154779585021915, 0.4036915187131275, 0.4142538889339476, 0.40945766324346716, 0.39806007706757746, 0.3916256147803682, 0.38790272266575787, 0.3941301807309642, 0.38895107918616495, 0.3638932246601943, 0.34612104522459436, 0.3314776129343293, 0.35304484538959735, 0.3411829884756695, 0.3415994373234836, 0.33089911802248523, 0.3291015290852749, 0.32471919330683624, 0.3146331829555107, 0.3178900204824679, 0.3117805884191484]",4,grid_search
7,5,128,128,256,2,0.5,0.01,0.0001,128,0.9436860068259386,0.9358108108108107,0.9518900343642612,0.9437819420783644,0.4709897610921502,0.0324232081911262,0.0238907849829351,0.4726962457337884,"[0.5918919179174635, 0.40911675492922467, 0.36586955189704895, 0.3503335217634837, 0.37301066517829895, 0.3659733368290795, 0.34480882353252834, 0.41294883357154, 0.3714920613500807, 0.3374241756068336, 0.3290921714570787, 0.3136567274729411, 0.33806432949172127, 0.30533329645792645, 0.2935846630069945, 0.3320884704589844, 0.30252739787101746, 0.3584796620739831, 0.32834086815516156, 0.30760660105281407, 0.29439013202985126, 0.29101582368214923, 0.281398206949234, 0.284608115752538, 0.2884669817156262, 0.28090422517723507, 0.289647423558765, 0.28410952786604565, 0.27480456564161515, 0.274923970301946, 0.2374559673998091, 0.19229448503918117, 0.2658155924744076, 0.2091398984193802, 0.20616335835721758, 0.15891054934925503, 0.16277571270863214, 0.14344102309809792, 0.17358494301637015, 0.15205497294664383, 0.39399177498287624, 0.30623240934477913, 0.28193698657883537, 0.2821924603647656, 0.28038327064779067, 0.2792026764816708, 0.27913368576102787]","[0.6300420156030944, 0.47062386165965686, 0.42208308974901837, 0.39477282672217395, 0.4175175663196679, 0.4173382773543849, 0.3978210561203234, 0.39757172176332184, 0.40160880847410724, 0.394750329581174, 0.3964079230120688, 0.39558021408138855, 0.3800172435514855, 0.3808457977844007, 0.3678179726456151, 0.37342477115717804, 0.37624483668442926, 0.3676207038489255, 0.3654236649021958, 0.35903693148584076, 0.3407198262937141, 0.3307575407353314, 0.33460904341755493, 0.32797311562480347, 0.32871203621228534, 0.3291822297103477, 0.3261657804250717, 0.3189026948177453, 0.32333322591853864, 0.3031868212150805, 0.28252071367971826, 0.2722631304553061, 0.24669974048932394, 0.2543125012607286, 0.23044730858369308, 0.2132542234930125, 0.20864057811823758, 0.22098158074147772, 0.18834779930837225, 0.20465688588041248, 0.32658920098434796, 0.3397943503928907, 0.3155091540379958, 0.313609037435416, 0.31510913597814966, 0.30604877210024634, 0.2976289048339381]",5,grid_search
7,5,128,128,256,2,0.5,0.01,0.0001,32,0.8976109215017065,0.8786885245901639,0.9209621993127148,0.8993288590604027,0.4402730375426621,0.0631399317406143,0.0392491467576791,0.4573378839590443,"[0.3951980372269948, 0.3955248233043786, 0.360421358184381, 0.39540671760385687, 0.3737589039585807, 0.4160062851327838, 0.394409178332849, 0.35282656505252374, 0.34393446960232477, 0.3399233538092989, 0.3291709540468274, 0.33554905923930084, 0.33839743200576666, 0.3223701006535328, 0.32300429768634564, 0.3115516815221671, 0.27558710742177384, 0.2929767356677489, 0.2890431939652472, 0.2842789506821921, 0.2946158554969412, 0.2843375111168081, 0.277865534704743, 0.27853142244346213, 0.27133236328760785, 0.27507810881643585, 0.2766415614521865, 0.27427376422918204, 0.27079283875046356, 0.27390806828484393, 0.26931560626535705, 0.2711313558798848, 0.2646814760836688, 0.26435147067814163, 0.2644135319825375, 0.26543823200644867, 0.25844023850831116, 0.2648032210541494, 0.2583750624096755, 0.2590464987989628, 0.26046153925585025, 0.25418816935835464, 0.25142242578846036, 0.2554791323614843, 0.25139114486448694, 0.2521979377576799, 0.252358132239544, 0.2510179482174642, 0.2669210334618886, 0.25150365540475556]","[0.46840775430654036, 0.4118385456050887, 0.4238073894697608, 0.4266635885067058, 0.4210939092392271, 0.429982184686444, 0.43282029314926174, 0.38681462757063634, 0.379985753559705, 0.3704834334326513, 0.3681196454122211, 0.36351813477548683, 0.36021484649091057, 0.35559516592007695, 0.35272526492675144, 0.3482825754944122, 0.3304540713628133, 0.3373135977396459, 0.32436211836157425, 0.33902125997525273, 0.3267090968561895, 0.31954415639241535, 0.3149327314035459, 0.3100544930520383, 0.30951559362989484, 0.31110838569249166, 0.3104665506856911, 0.3054614605551416, 0.3062903909294894, 0.3065726715281154, 0.29897578873417596, 0.3022406430858554, 0.30111414453748503, 0.3042225885120305, 0.3005884415046735, 0.30170868613728974, 0.3023515525415088, 0.2976081751738534, 0.29556999451509025, 0.29350380396301096, 0.29250418710889237, 0.29480199075557967, 0.2876767113127492, 0.2843634140197978, 0.28392202700629376, 0.28735104033892805, 0.2835552775950143, 0.28792124298034294, 0.2824200603433631, 0.28388052038622624]",3,grid_search
7,5,128,128,256,2,0.5,0.001,0.001,32,0.9129692832764504,0.96875,0.852233676975945,0.906764168190128,0.4897610921501706,0.0136518771331058,0.0733788395904436,0.4232081911262799,"[0.3766733805338542, 0.2560408715948914, 0.3376279297200116, 0.35549724914810876, 0.3524253698009433, 0.34344584923802, 0.3278968916697936, 0.32194283378846716, 0.3306869047157692, 0.32309415304299555, 0.3213106231255965]","[0.4054193837624608, 0.35988169135243603, 0.38309717471852445, 0.37609644668797654, 0.3891851688650521, 0.3700344282569307, 0.35500843326250714, 0.3480257187603098, 0.35040627465103613, 0.34557362803907105, 0.34479149318102637]",6,grid_search
7,5,128,128,256,2,0.5,0.001,0.001,128,0.9266211604095564,0.996,0.8556701030927835,0.9205175600739371,0.5017064846416383,0.0017064846416382,0.0716723549488054,0.4249146757679181,"[0.3322470751073625, 0.34206615885098773, 0.18655687073866525, 0.30692888299624127, 0.3297995726267497, 0.2318082567718294, 0.337796817223231, 0.3339348766538832, 0.33242547180917525, 0.3307774497403039, 0.3283713029490577, 0.32815143797132706]","[0.4929810030893846, 0.3731155512910901, 0.33875353995597723, 0.4089912090337638, 0.3603175797245719, 0.31166428237250354, 0.39773471292221185, 0.36722196909514343, 0.36494905569336633, 0.3633361052383076, 0.35979586929985974, 0.3582470137061495]",8,grid_search
7,5,128,128,256,2,0.5,0.001,0.001,64,0.9829351535836176,0.989547038327526,0.9759450171821306,0.9826989619377162,0.4982935153583617,0.0051194539249146,0.0119453924914675,0.4846416382252559,"[0.26683473324074464, 0.40210478270755096, 0.3456958076533149, 0.32316063782748056, 0.3186522099901648, 0.19603935585302465, 0.13305720204816146, 0.10540650083738215, 0.09871349987738273, 0.184742890736636, 0.0980316830032012, 0.09259429804104216, 0.06773163433022358, 0.10021740548750933, 0.06819141634246882, 0.095365950728164, 0.09226991537520114, 0.07064328539897413, 0.06677763177739347, 0.06670885116738431, 0.05381471548667725, 0.06344457767794237, 0.06166465427069103, 0.06637107391896493, 0.07509836938013048, 0.062178704312399906, 0.058827625779325474, 0.0574416749398498, 0.058382456464802515, 0.05836799135431647]","[0.422136193197785, 0.3834858878769658, 0.38537747796737787, 0.3690631127718723, 0.3231319430651087, 0.2710570598190481, 0.20497479312347644, 0.15864261584074207, 0.13503504533207777, 0.13886747057690765, 0.16705456844559222, 0.1276834768553575, 0.1123888332566077, 0.11250662354921753, 0.10046685845450018, 0.08708030634531469, 0.07799817800916957, 0.06882149504610535, 0.07031362894640276, 0.07122834690028068, 0.0751582645162037, 0.060899525147044296, 0.06633368292541215, 0.06729713292566664, 0.0664407864184768, 0.07275627902003401, 0.06575943516906012, 0.06419035954626673, 0.0657592533353829, 0.06269348168632749]",7,grid_search
7,5,128,128,256,2,0.5,0.001,0.0001,32,0.9283276450511946,0.973384030418251,0.8797250859106529,0.924187725631769,0.4914675767918088,0.0119453924914675,0.0597269624573378,0.4368600682593856,"[0.3314045441873146, 0.2333694357763637, 0.257845271265868, 0.3751343104875449, 0.3111474839123813, 0.3533823097294027, 0.3107496247147069, 0.30885553540605487, 0.3053574354359598, 0.3072633639429555, 0.3064112762610118]","[0.4229547753930092, 0.36313959154667275, 0.3633800857897961, 0.36852656033906067, 0.3619247620755976, 0.3565690936238477, 0.3444205144363822, 0.33847955151489284, 0.3358414981401328, 0.3343997217263236, 0.334663324848269]",9,grid_search
7,5,128,128,256,2,0.5,0.001,0.0001,128,0.9522184300341296,0.99250936329588,0.9106529209621992,0.949820788530466,0.5,0.0034129692832764,0.0443686006825938,0.4522184300341297,"[0.33512887689802384, 0.3178066180811988, 0.22569478551546732, 0.24846790234247842, 0.16524061726199257, 0.2113623403840595, 0.14720402740769917, 0.2879142264525096, 0.2101886123418808, 0.5106852518187629, 0.3404527505238851, 0.33573475148942733, 0.33335309227307636, 0.33208919233746, 0.3299463755554623, 0.32968777418136597]","[0.45785148577256635, 0.36402904626094934, 0.31686515428803186, 0.34212946078994055, 0.26602031832391565, 0.2590226801958951, 0.29745462356191693, 0.29094929067474423, 0.2503934556787664, 0.31119192290035164, 0.40371262124090485, 0.3692076179114255, 0.36401788032416144, 0.3582653556809281, 0.36046003392248444, 0.3608389858043555]",11,grid_search
7,5,128,128,256,2,0.5,0.001,0.0001,64,0.9522184300341296,0.9646643109540636,0.9381443298969072,0.951219512195122,0.4863481228668942,0.0170648464163822,0.030716723549488,0.4658703071672355,"[0.6269394930671243, 0.4935702173148884, 0.3868590549511068, 0.3400210159666398, 0.3201480788343093, 0.40312109799946055, 0.34678832047125874, 0.33698028939611774, 0.31541725993156433, 0.30716366452329297, 0.30214288217179913, 0.22649677010143504, 0.19693506596719518, 0.18225192673066082, 0.34109100085847516, 0.30988994240760803, 0.1873978201080771, 0.15653592611060424, 0.09394948053009369, 0.10849603791447247, 0.12945455444209716, 0.2523226948345409, 0.20881513988270478, 0.18437007464030208, 0.1884371958234731, 0.17104425631901798, 0.16346045320524888, 0.16799888672197566]","[0.4888165599920533, 0.572195877179955, 0.4736482839692723, 0.40102252838286484, 0.3707548768231363, 0.353524337663795, 0.45057508304263605, 0.37211493583339633, 0.35941122314243606, 0.34056281275821454, 0.32146242102890304, 0.3074470634261767, 0.2705381598436471, 0.2774673815477978, 0.3014750693444953, 0.32864096760749817, 0.290313989601352, 0.22901847348971802, 0.2176491543650627, 0.2384808867266684, 0.1835183881110314, 0.30796251276677306, 0.25716839493675664, 0.21895306117155336, 0.21472849290479312, 0.20246313681656664, 0.2019434357344201, 0.19609925907218095]",10,grid_search
7,5,128,128,256,2,0.5,0.0001,0.001,32,0.953924914675768,0.9925373134328358,0.9140893470790378,0.9516994633273704,0.5,0.0034129692832764,0.0426621160409556,0.4539249146757679,"[0.3743826412793362, 0.3415575415799112, 0.24620386100176608, 0.16815473997231686, 0.14686329899863762, 0.1616467640481212, 0.11867138365227164, 0.13651216944510286, 0.15624850356217587, 0.12375380064953458, 0.1318789471618154, 0.17224624132116637, 0.12855314367422552, 0.1610912735940832, 0.16719611751084978, 0.16488342534637812]","[0.5226719372651794, 0.37398240094383556, 0.3387245549397035, 0.27891613650276803, 0.1868560304300803, 0.18552764488214796, 0.2032748847409631, 0.20381807856205286, 0.28785528160744545, 0.17589653692575116, 0.1863242040924502, 0.12436824379432382, 0.12761857260413695, 0.11475789470767433, 0.1381032836313049, 0.12515842669050803]",12,grid_search
7,5,128,128,256,2,0.5,0.0001,0.001,128,0.9658703071672357,0.985663082437276,0.9450171821305842,0.9649122807017544,0.4965870307167235,0.0068259385665529,0.0273037542662116,0.4692832764505119,"[0.5826939741770426, 0.5008766717380948, 0.3809555007351769, 0.3513345718383789, 0.33686478601561654, 0.33921950724389816, 0.3256242209010654, 0.16987965421544182, 0.15071469876501295, 0.28365810049904716, 0.17618860966629452, 0.19526096185048422, 0.11228810995817184, 0.10899193667703205, 0.13966523855924606, 0.1256617945101526, 0.14914894766277736, 0.14348214285241234, 0.11795327812433243, 0.1359254088666704, 0.13256754477818808, 0.12488002412849003, 0.12455757955710094]","[0.6172839059974208, 0.54512747760975, 0.44016070799394086, 0.3853449586665992, 0.37075279517607257, 0.3583541124156027, 0.3495762131430886, 0.298825767455679, 0.2071030011231249, 0.2456947829235684, 0.2560051038409724, 0.1722089187665419, 0.1628389602357691, 0.1457558317166386, 0.19120520601669946, 0.19792333403320023, 0.17337331175804138, 0.167028699408878, 0.13548656157923467, 0.12763642824508928, 0.12759935788132928, 0.12841928727699048, 0.12097892108740228]",14,grid_search
7,5,128,128,256,2,0.5,0.0001,0.001,64,0.969283276450512,0.989247311827957,0.9484536082474226,0.968421052631579,0.4982935153583617,0.0051194539249146,0.0255972696245733,0.4709897610921502,"[0.4968918947612538, 0.3573996827882879, 0.33651021298240213, 0.33606839530608235, 0.3033142379101585, 0.3108922155464397, 0.29275720172068653, 0.1964382371481727, 0.13584278480095022, 0.2577560123275308, 0.1479075748254271, 0.13254360241048477, 0.1122725441613618, 0.2446299712447559, 0.12285178045139593, 0.1257273331284523, 0.09042910168714383, 0.09574671275913715, 0.09509284684763235, 0.15700151267297127, 0.08762446155442911, 0.08781728877083343, 0.09509575892897214, 0.1210903645876576, 0.09062010970185785, 0.0806695996400188, 0.07724753416636411, 0.08245056582724347, 0.08547497946111594, 0.08664240699042292, 0.08470653589157497, 0.08023403437041185, 0.0778566220884814, 0.07889831307179787, 0.08006996266982135, 0.0801186786745401]","[0.5806674252856862, 0.4203803597977667, 0.36895073476162826, 0.35532031524361984, 0.33121458012046234, 0.31542512785756227, 0.32639399193453067, 0.28025059266523883, 0.1861453005536036, 0.34198422808990336, 0.24280010795954501, 0.1590281157669696, 0.14008121463385495, 0.16989451054144988, 0.15089734829962254, 0.14299204810099167, 0.1415672448435516, 0.1413997279084993, 0.1486846972256899, 0.14891050789843907, 0.14698755007350084, 0.11689566820859909, 0.13756204819814724, 0.13312644957367217, 0.11505182632104013, 0.0824378492084868, 0.09018865552251086, 0.08979485429484736, 0.09359038155525923, 0.09152363788223628, 0.09476765880191867, 0.0856579223534826, 0.08981315091703877, 0.0908637045120651, 0.08846095218464281, 0.08588318701720599]",13,grid_search
7,5,128,128,256,2,0.5,0.0001,0.0001,64,0.931740614334471,0.9960474308300395,0.865979381443299,0.9264705882352942,0.5017064846416383,0.0017064846416382,0.0665529010238907,0.4300341296928328,"[0.4600154003676246, 0.35655805994482603, 0.3348448048619663, 0.3253646212465623, 0.3193671826054068, 0.1748812413390945, 0.2009943500161171, 0.2596123271128711, 0.29880060781450835, 0.9577579813845017, 0.7606902718544006, 0.6833924020037931, 0.6619487860623527, 0.5608421195955837, 0.5515706661869498]","[0.5798014253377914, 0.4004350932258548, 0.3651477802883495, 0.35380496197577677, 0.3333826760450999, 0.27397826652635227, 0.22872678083226536, 0.21161484543346998, 0.16839678811304498, 0.3501323683921135, 0.8591933331706307, 0.7182268098448262, 0.6529716731923999, 0.603016634330605, 0.538505751526717]",16,grid_search
7,5,128,128,256,2,0.5,0.0001,0.0001,32,0.9812286689419796,1.0,0.9621993127147768,0.9807355516637478,0.5034129692832765,0.0,0.0187713310580204,0.4778156996587031,"[0.3716671805490147, 0.3375080543937105, 0.19395434924147345, 0.1982564680052526, 0.16944324292919852, 0.10716973448341544, 0.2747320153496482, 0.18863149258223447, 0.34005941224820685, 0.09043231995945628, 0.17408849253798975, 0.11307800262037551, 0.24016156341090347, 0.11514460464770143, 0.07833883499331547, 0.0748480103458419, 0.06628454183087204, 0.08197825238334411, 0.12402877900185007, 0.07997729335770462, 0.07659735987809571, 0.0697042296894572, 0.0641534279354594, 0.06864402623790683, 0.06547505165817159, 0.06943630573875977, 0.07185573887192842, 0.07085858855509397, 0.07000317035073583, 0.07031735100529411, 0.07060955329374834, 0.07055192192395528]","[0.49362702814467024, 0.368247603489594, 0.2980090244814302, 0.23614139976262144, 0.24450978786317687, 0.1726253109447884, 0.17891401484269986, 0.22901652955139676, 0.19467781644991852, 0.18084996907661358, 0.3635051055444461, 0.18529790171393842, 0.2670693834396926, 0.1995214302036347, 0.1151973560000911, 0.09685259189626033, 0.09315618857120474, 0.0875155612911013, 0.08862311021904602, 0.09521726834954637, 0.11406491933192944, 0.08198049681430514, 0.08223112210433817, 0.07867703135971996, 0.0755590195062034, 0.0724122948013246, 0.07724774791153544, 0.07584320069431807, 0.07467729680832814, 0.07582003746012395, 0.07314793185584924, 0.07435826256617227]",15,grid_search
7,5,128,128,256,2,0.5,0.0001,0.0001,128,0.9658703071672357,0.9891696750902528,0.9415807560137456,0.9647887323943662,0.4982935153583617,0.0051194539249146,0.0290102389078498,0.4675767918088737,"[0.5706217818790011, 0.4447634518146515, 0.36483747760454815, 0.3418496251106262, 0.3410558733675215, 0.3351575235525767, 0.3180946310361226, 0.15295154518551296, 0.29410210251808167, 0.14773864464627373, 0.1657463659842809, 0.16279125627544191, 0.12573135644197464, 0.13831520246134865, 0.19931679964065552, 0.13922730584939322, 0.16002574976947573, 0.10781462697519197, 0.10772193761335479, 0.11457330567969216, 0.13377836181057823, 0.1049874983727932, 0.10545281858907805, 0.1107258184088601, 0.11934061720967293, 0.14170609580145943, 0.13352675322029325, 0.13763697114255694, 0.12962405963076484, 0.12155112541384167, 0.11966514007912742]","[0.6238916425993948, 0.5163606622002341, 0.40785307143673755, 0.3752688882928906, 0.36150939988367486, 0.35710176373973035, 0.3450481273008115, 0.25722965959346655, 0.25628303781603323, 0.2036157464890769, 0.23478301230705145, 0.19659686720732486, 0.18570631516702246, 0.16292444706866235, 0.12332372412537083, 0.1439711687465509, 0.14244429022073746, 0.1353765172940312, 0.11087155658187288, 0.10107179460200397, 0.10264000025662509, 0.0939397369370316, 0.09353779403097702, 0.09501351912816365, 0.10089190146236708, 0.10181721378908012, 0.10630310473568512, 0.10247178409587253, 0.10124131709788785, 0.09340875686118097, 0.09348111046534596]",17,grid_search
